239,565
205,583
171,564
160,533
117,561
81,539
97,506
123,480
165,480
194,497
231,480
268,468
319,482
357,508
350,552
376,581
416,595
438,566
479,579
511,554
480,536
436,528
411,503
446,478
486,459
523,472
557,452
530,421
488,428
455,402
414,403
375,395
340,407
266,401
260,358
219,353
175,362
141,337
165,300
135,278
100,271
69,245
93,215
130,207
151,235
188,219
226,189
209,158
227,131
267,135
279,178
346,208
375,183
422,170
468,157
499,123
511,157
479,193
434,209
407,228
433,262
445,293
484,289
544,300
